Country,Human Development Index (HDI) Value,Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years) 2019,Gross national income (GNI) per capita(2017 PPP $),Inequality-adjusted life expectancy index  (Value)   2019,Inequality-adjusted income index (value) 2019,Gross domestic product (GDP per capita 2017 PPP$) 2019,GDP Annual Growth (Percentage),Employment to population ratio,Mandatory paid maternity leave,Share of seats held by women in parliament (percentage),Stock of immigrants (percentage of poplulation),Consumer price index (2010=100),Healthy life expectancy at birth (years),Total Population( in millions),Urban Population (in percentage),Population age 65 and older( in millions),Human Development Index (female value) 2019,Human Development Index (male value) 2019,Gender Development Index (value) 2019,Gender Inequality Index Rank ,GDP per capita Female,GDP per capita Male,Life expectancy at birth Female (in years),Life expectancy at birth Male (in years),Expected years of schooling female (in years),Expected years of schooling male (in years),Mean years of schooling (female years) 2019,Mean years of schooling (male years) 2019,Estimated Gross national income (GNI) per female capita (2017 PPP$)  2019,Estimated Gross national income (GNI) per male capita (2017 PPP$)  2019,Employment in agriculture (% of total) 2019,Employment in services (% of total) 2019,Exports and imports (% of GDP) 2019,Labour force female participation rate (% ages 15 and older) 2019,Labour force male participation rate (% ages 15 and older) 2019,Label
Panama,0.815,78.5,12.9,10.2,"29,558",0.792,0.542,"31,459",1.3,64,98,21,4.4,122,69.2,4.2,68.1,0.4,0.826,0.811,1.019,94,"24,050","35,049",81.8,75.4,13.5,12.4,11.2,10,"24,050","35,049",14,67.3,89.4,53.4,79.9,1
Bahamas,0.814,73.9,12.9,11.4,"33,747",0.773,,"35,783",0.8,66.8,91,22,16.2,116,64.2,0.4,83.1,0,,,,77,"27,560","40,295",76.1,71.7,,,11.7,11.4,"27,560","40,295",2.1,83.6,77.4,68.1,81.6,1
Barbados,0.814,79.2,15.4,10.6,"14,936",0.831,0.502,"15,639",-0.2,58.5,84,29,12.1,134,66.7,0.3,31.2,0,0.816,0.809,1.008,56,"12,656","17,370",80.5,77.8,16.8,14,11,10.3,"12,656","17,370",2.6,78.3,83.7,61.7,69.1,1
Oman,0.813,77.9,14.2,9.7,"25,944",0.831,0.671,"27,896",-2.4,70.4,50,10,46,114,64.8,5,85.4,0.1,0.768,0.821,0.936,68,"7,959","35,201",80.3,76.1,15,13.7,10.6,9.4,"7,959","35,201",4.6,62.7,100.7,31,89.9,1
Georgia,0.812,73.8,15.3,13.1,"14,429",0.762,0.582,"15,014",5.3,58.5,183,15,2,134,64.5,4,59,0.6,0.8,0.817,0.98,76,"9,475","19,864",78.1,69.3,15.5,15,13.2,13.1,"9,475","19,864",41.8,44.3,116.9,57.4,80.8,1
Costa Rica,0.81,80.3,15.7,8.7,"18,486",0.862,0.521,"19,642",1.1,54.7,120,46,8.3,129,69.4,5,80.1,0.5,0.802,0.818,0.981,62,"13,476","23,501",82.9,77.7,16.4,15.4,8.9,8.6,"13,476","23,501",12.1,68.1,66.1,48.1,76.2,1
Malaysia,0.81,76.2,13.7,10.4,"27,534",0.811,,"28,351",3,62.2,60,16,10.7,121,65.7,31.9,76.6,2.2,0.797,0.821,0.972,59,"20,825","33,877",78.3,74.2,14,13.3,10.3,10.5,"20,825","33,877",10.4,62.6,123.1,50.7,77.1,1
Kuwait,0.806,75.5,14.2,7.3,"58,590",0.803,,"49,846",-1.3,71.9,70,5,72.1,127,70.3,4.2,100,0.1,0.793,0.807,0.983,53,"31,698","75,840",76.6,74.8,15.2,13.2,8,6.8,"31,698","75,840",2,73.6,100.5,49.7,87.5,1
Serbia,0.806,76,14.7,11.2,"17,192",0.819,0.591,"18,180",4.8,47.9,135,38,9.4,144,66.3,8.8,56.3,1.6,0.797,0.815,0.977,35,"13,990","20,525",78.6,73.4,15.3,14.2,10.8,11.6,"13,990","20,525",15.5,57.4,112.6,47.4,62.8,1
Mauritius,0.804,75,15.1,9.5,"25,266",0.766,0.684,"22,989",3.5,54.4,98,20,2.3,130,65.2,1.3,40.8,0.2,0.791,0.811,0.976,78,"15,870","34,898",78.5,71.7,15.7,14.4,9.4,9.7,"15,870","34,898",6.1,68.6,92.8,45.2,72,1
Seychelles,0.796,73.4,14.1,10,"26,903",0.743,0.598,"29,056",3.8,,112,21,13.2,130,64.4,0.1,57.1,0,,,,,,,77.4,69.9,15.3,13.1,9.9,10.1,,,,,155.2,..,..,2
Trinidad and Tobago,0.796,73.5,13,11,"26,231",0.701,,"26,176",-0.4,58.3,98,33,4.2,142,65.2,1.4,53.2,0.2,0.796,0.793,1.003,73,"20,482","32,121",76.2,70.9,14,12,11.1,10.9,"20,482","32,121",3,70.3,,50.1,70.2,2
Albania,0.795,78.6,14.7,10.1,"13,998",0.836,0.648,"13,962",2.7,48.9,365,30,1.7,119,68.9,2.9,61.2,0.4,0.78,0.807,0.967,42,"11,004","16,885",80.2,77,15.5,14,9.7,10.6,"11,004","16,885",36.7,43.3,76.7,46.7,64.6,2
Cuba,0.783,78.8,14.3,11.8,"8,621",0.858,,,2.3,52.7,,53,0,,68.4,11.3,77.1,1.8,0.754,0.799,0.944,67,"5,714","11,567",80.8,76.8,14.7,13.9,11.2,11.8,"5,714","11,567",17.5,65.6,27.1,40.7,66.8,2
Iran (Islamic Republic of),0.783,76.7,14.8,10.3,"12,447",0.792,0.585,"14,536",2.3,39.6,270,6,3.2,551,66.8,82.9,75.4,5.3,0.709,0.819,0.866,113,"4,084","20,637",77.9,75.6,14.6,15,10.3,10.4,"4,084","20,637",17.9,51.5,48.8,17.5,71.5,2
Sri Lanka,0.782,77,14.1,10.6,"12,707",0.815,0.568,"13,078",1.7,51.7,118,5,0.2,156,66.9,21.3,18.6,2.3,0.759,0.794,0.955,90,"7,433","18,423",80.3,73.6,14.5,13.8,10.6,10.6,"7,433","18,423",24.5,45.8,52.4,35.4,74.6,2
Bosnia and Herzegovina,0.78,77.4,13.8,9.8,"14,872",0.835,0.603,"14,895",3.3,37.8,365,21,1.1,105,67,3.3,48.6,0.6,0.753,0.803,0.937,38,"10,567","19,357",79.9,74.9,14.1,13.5,8.9,10.9,"10,567","19,357",15.4,52.4,95.9,35.4,58.1,2
Grenada,0.779,72.4,16.9,9,"15,641",0.716,,"17,242",2.6,,90,39,6.4,107,64,0.1,36.4,0,,,,,,,75,70.1,17,16.2,,,,,,,110,..,..,2
Mexico,0.779,75.1,14.8,8.8,"19,160",0.758,0.529,"19,746",-1.2,58.6,84,48,0.8,142,65.4,127.6,80.4,9.5,0.76,0.792,0.96,71,"12,765","25,838",77.9,72.2,15,14.6,8.6,8.9,"12,765","25,838",12.6,61.2,78.2,44.2,78.5,2
Saint Kitts and Nevis,0.779,74.8,13.8,8.7,"25,038",,,"26,357",1.8,,91,13,14.4,105,63.1,0.1,30.8,,,,,,,,,,14,13.7,,,,,,,122.7,..,..,2
Ukraine,0.779,72.1,15.1,11.4,"13,216",0.742,0.675,"12,810",3.8,49.3,126,21,11.3,282,64.6,44,69.5,7.3,0.776,0.776,1,52,"10,088","16,840",76.8,67.1,15.3,14.9,11.3,11.3,"10,088","16,840",14.5,61,90.2,46.7,63.1,2
Antigua and Barbuda,0.778,77,12.8,9.3,"20,895",0.826,,"21,908",3.8,,91,31,30.1,114,66.6,0.1,24.5,0,,,,,,,78.1,75.9,13.2,12.1,,,,,,,90.2,..,..,2
Peru,0.777,76.7,15,9.7,"12,252",0.779,0.519,"12,848",0.5,75.1,98,30,2.4,130,69.9,32.5,78.1,2.7,0.759,0.793,0.957,87,"9,889","14,647",79.5,74.1,14.9,15.1,9.1,10.3,"9,889","14,647",27.4,57.3,47.1,70.3,85.1,2
Thailand,0.777,77.2,15,7.9,"17,781",0.81,0.596,"18,463",2.1,66.8,90,14,5.2,113,68.4,69.6,50.7,8.6,0.782,0.776,1.008,80,"15,924","19,737",80.9,73.5,15.8,14.7,7.7,8.2,"15,924","19,737",31.6,45.8,110.3,59.2,76.1,2
Armenia,0.776,75.1,13.1,11.3,"13,894",0.774,0.616,"13,654",7.4,46.2,140,23,6.4,129,66.6,3,63.2,0.3,0.766,0.78,0.982,54,"9,737","18,574",78.5,71.3,13.6,12.6,11.3,11.3,"9,737","18,574",29.6,53.2,91.4,47.1,65.9,2
North Macedonia,0.774,75.8,13.6,9.8,"15,865",0.791,0.619,"16,506",3.5,45.3,270,39,6.3,113,65.4,2.1,58.2,0.3,0.753,0.791,0.952,37,"11,698","20,027",77.8,73.8,13.8,13.4,9.4,10.2,"11,698","20,027",15.4,53.2,137.3,43,67.3,2
Colombia,0.767,77.3,14.4,8.5,"14,257",0.787,0.483,"14,731",1.9,62.1,126,20,2.3,141,69.6,50.3,81.1,4.4,0.761,0.77,0.989,101,"11,594","17,018",80,74.5,14.7,14.1,8.6,8.3,"11,594","17,018",16.6,63.4,38.1,57.3,80.9,2
Brazil,0.765,75.9,15.4,8,"14,263",0.766,0.442,"14,652",0.4,56.2,120,15,0.4,167,65.2,211,86.8,19.5,0.76,0.765,0.993,95,"10,535","18,120",79.6,72.2,15.8,15.1,8.2,7.7,"10,535","18,120",9.2,71,29,54.2,74.1,2
China,0.761,76.9,14,8.1,"16,057",0.806,0.557,"16,117",5.7,65.1,128,25,0.1,125,68.5,"1,433.80",60.3,164.5,0.744,0.777,0.957,39,"12,633","19,308",79.2,74.8,14,14,7.7,8.4,"12,633","19,308",25.4,46.4,35.7,60.5,75.3,2
Ecuador,0.759,77,14.6,8.9,"11,044",0.776,0.498,"11,375",-1.6,65.3,84,38,2.2,124,66.7,17.4,64,1.3,0.743,0.768,0.967,86,"7,874","14,211",79.8,74.3,14.9,14.3,8.7,8.9,"7,874","14,211",29.2,52.5,46.7,55.2,81.1,2
Saint Lucia,0.759,76.2,14,8.5,"14,616",0.773,0.547,"15,449",1.2,53.2,91,21,4.6,110,65.1,0.2,18.8,0,0.752,0.763,0.985,90,"11,476","17,851",77.6,74.9,14.7,13.3,8.8,8.2,"11,476","17,851",17.3,64.5,,59.5,75,2
Azerbaijan,0.756,73,12.9,10.6,"13,784",0.702,0.678,"14,404",1.4,62.8,126,17,2.5,157,63,10,56,0.6,0.73,0.774,0.943,73,"8,919","18,664",75.5,70.5,13,12.8,10.2,10.9,"8,919","18,664",35.9,49.3,86,63.4,69.7,2
Dominican Republic,0.756,74.1,14.2,8.1,"17,591",0.691,0.544,"18,419",4,60.6,98,24,5.3,135,64.2,10.7,81.8,0.8,0.759,0.76,0.999,112,"12,449","22,740",77.4,71,15,13.5,8.8,8.3,"12,449","22,740",9,71.1,53,51.4,77.4,2
Moldova (Republic of),0.75,71.9,11.5,11.7,"13,664",0.722,0.639,"13,034",5.3,40.7,126,26,2.6,166,65.1,4,42.7,0.5,0.754,0.744,1.014,46,"11,994","15,477",76.2,67.6,11.8,11.3,11.8,11.6,"11,994","15,477",35.9,47.2,85.8,40.5,46,2
Algeria,0.748,76.9,14.6,8,"11,174",0.752,0.631,"11,350",-1.1,36.3,98,22,0.6,151,66.3,43.1,73.2,2.8,0.671,0.782,0.858,103,"3,296","18,891",78.1,75.7,14.8,14.4,7.7,8.3,"3,296","18,891",9.9,59.4,52,14.6,67.4,2
Lebanon,0.744,78.9,11.3,8.7,"14,655",0.84,,"14,717",-5.7,44.1,70,5,27.2,130,66,6.9,88.8,0.5,0.691,0.774,0.892,96,"6,078","23,124",80.9,77.1,11.1,11.5,8.5,8.9,"6,078","23,124",13.6,63.9,63.6,22.9,71.4,2
Fiji,0.743,67.4,14.4,10.9,"13,009",0.621,,"13,853",0.3,55.3,98,20,1.6,132,59.7,0.9,56.8,0.1,,,,84,"8,317","17,577",69.3,65.7,,,11,10.8,"8,317","17,577",36.3,50.4,,38.5,76.5,2
Dominica,0.742,78.2,13,8.1,"11,884",,,"12,156",5.4,,84,25,11.5,104,63.1,0.1,70.8,,,,,,,,,,,,,,,,,,139.8,..,..,2
Maldives,0.74,78.9,12.2,7,"17,417",0.852,0.578,"18,914",2.2,65.5,60,5,13,100,69.1,0.5,40.2,0,0.698,0.756,0.923,82,"7,908","22,931",80.8,77.5,12.3,12.1,7,7,"7,908","22,931",8.5,73.1,135.7,41.6,84.2,2
Tunisia,0.74,76.7,15.1,7.2,"10,414",0.794,0.583,"10,756",-0.1,38.7,30,23,0.5,155,67.4,11.7,69.3,1,0.689,0.766,0.9,65,"4,587","16,341",78.7,74.7,15.8,14.3,6.5,8,"4,587","16,341",13,54.4,110.5,23.8,69.4,2
Saint Vincent and the Grenadines,0.738,72.5,14.1,8.8,"12,378",0.717,,"12,466",0,53.4,91,13,4.2,110,63.6,0.1,52.6,0,0.724,0.75,0.965,,"8,880","15,776",75.1,70.3,14.2,14,8.9,8.7,"8,880","15,776",10.7,69.3,85.2,54.4,77,2
Suriname,0.738,71.7,13.2,9.3,"14,324",0.693,0.4,"16,329",-1.7,47.4,,31,7.9,295,62.9,0.6,66.1,0,0.729,0.74,0.985,105,"9,504","19,093",75.1,68.5,13.8,12.5,9.4,9.1,"9,504","19,093",7.5,69,91,38.8,63.7,2
Mongolia,0.737,69.9,14.2,10.3,"10,839",0.667,0.588,"12,310",3.3,56.1,120,17,0.7,196,60.4,3.2,68.5,0.1,0.744,0.727,1.023,71,"8,756","12,981",74.1,65.8,14.8,13.7,10.7,9.7,"8,756","12,981",27.4,53.2,125.8,53.3,66.4,2
Botswana,0.735,69.6,12.8,9.6,"16,437",0.615,,"17,766",0.8,57.9,84,11,4.8,150,54.1,2.3,70.2,0.1,0.734,0.735,0.998,116,"15,276","17,677",72.4,66.5,13,12.7,9.5,9.7,"15,276","17,677",20.7,61.2,74.1,65.4,76.9,2
Jamaica,0.734,74.5,13.1,9.7,"9,319",0.754,0.466,"9,761",0.2,60.7,56,19,0.8,163,66.5,2.9,56,0.3,0.73,0.735,0.994,88,"7,501","11,163",76.1,72.9,13.9,12.4,10.2,9.3,"7,501","11,163",15.9,67.9,89,59.8,72.5,2
Jordan,0.729,74.5,11.4,10.5,"9,858",0.75,0.569,"9,906",0.5,33.5,70,15,33.1,126,68,10.1,91.2,0.4,0.664,0.758,0.875,109,"3,324","16,234",76.3,72.8,11.6,11.1,10.3,10.7,"3,324","16,234",3.1,72.4,87.6,14.4,63.7,2
Paraguay,0.728,74.3,12.7,8.5,"12,224",0.719,0.452,"12,685",-1.3,68.6,126,17,2.3,144,66.4,7,61.9,0.5,0.714,0.739,0.966,107,"8,855","15,483",76.4,72.3,13,12.4,8.5,8.5,"8,855","15,483",20.1,61.7,69.2,59.2,84.6,2
Tonga,0.725,70.9,14.4,11.2,"6,365",0.702,,"6,267",-0.9,59.1,,7,3.6,121,63.9,0.1,23.1,0,0.702,0.739,0.95,79,"4,311","8,416",72.9,69,14.6,14,11.3,11.2,"4,311","8,416",24.2,46.7,98.2,45.7,74.3,2
Libya,0.724,72.9,12.9,7.6,"15,688",0.74,,"15,174",1,40.5,98,16,12.1,,65.3,6.8,80.4,0.3,0.713,0.731,0.976,56,"9,249","21,999",76,70.1,13.1,12.6,8.5,7.2,"9,249","21,999",18.9,59.2,118.3,33.9,65.3,2
Uzbekistan,0.72,71.7,12.1,11.8,"7,142",0.685,,"6,999",3.6,61.2,126,16,3.5,,60.9,33,50.4,1.5,0.695,0.74,0.939,62,"5,064","9,230",73.8,69.6,11.9,12.2,11.6,12,"5,064","9,230",23.9,46.6,73,52.4,78.1,2
Bolivia (Plurinational State of),0.718,71.5,14.2,9,"8,554",0.614,0.463,"8,724",0.8,69.3,90,52,1.4,148,63.1,11.5,69.8,0.8,0.696,0.737,0.945,98,"6,481","10,610",74.5,68.7,14.2,14.2,8.3,9.8,"6,481","10,610",30.7,49.9,56.4,63.2,80.5,2
Indonesia,0.718,71.7,13.6,8.2,"11,459",0.685,0.551,"11,812",3.9,64.3,90,17,0.1,151,62.6,270.6,56,16.4,0.694,0.738,0.94,121,"7,902","14,966",74,69.6,13.7,13.5,7.8,8.6,"7,902","14,966",28.6,48.9,37.3,53.1,81.9,2
Philippines,0.718,71.2,13.1,9.4,"9,778",0.668,0.498,"8,908",4.6,58.3,105,28,0.2,130,62.7,108.1,47.1,5.7,0.72,0.715,1.007,104,"7,843","11,694",75.5,67.3,13.5,12.8,9.6,9.2,"7,843","11,694",23.4,57.2,68.6,46.1,73.3,2
Belize,0.716,74.6,13.1,9.9,"6,382",0.747,0.39,"7,005",-1.6,60.9,98,11,15.4,,65.1,0.4,45.9,0,0.706,0.723,0.976,97,"4,896","7,881",77.8,71.7,13.4,12.8,9.9,9.9,"4,896","7,881",16.8,67.5,115.7,49.9,80.6,2
Samoa,0.715,73.3,12.7,10.8,"6,309",0.738,,"6,517",3,40,28,10,2,118,61.8,0.2,18.1,0,,,,81,"4,054","8,410",75.5,71.3,13.2,12.3,,,"4,054","8,410",30.4,46.5,91.1,31.1,55.5,2
Turkmenistan,0.715,68.2,11.2,10.3,"14,909",0.568,0.558,"14,845",4.5,62,,25,3.3,,62.9,5.9,52,0.3,,,,,"10,493","19,461",71.7,64.7,10.9,11.5,,,"10,493","19,461",19.9,37.7,35.2,51.4,78.3,2
Venezuela (Bolivarian Republic of),0.711,72.1,12.8,10.3,"7,045",0.664,0.481,,-4.7,54.5,182,22,4.8,"2,740",65.4,28.5,88.2,2.2,0.712,0.706,1.009,119,"5,173","8,973",76,68.3,13.8,11.8,10.6,10,"5,173","8,973",8.3,75.1,48.1,45.4,74.9,2
South Africa,0.709,64.1,13.8,10.2,"12,129",0.549,0.312,"12,482",-1.2,40.2,120,45,7.2,159,56.2,58.6,66.9,3.2,0.702,0.712,0.986,93,"9,248","15,095",67.7,60.7,14.2,13.4,10,10.3,"9,248","15,095",5.1,72,59.2,49.6,62.7,2
"Palestine, State of",0.708,74.1,13.4,9.2,"6,417",0.732,0.524,"5,662",-1.6,32.4,70,,5.1,113,64.4,5,76.4,0.2,0.638,0.733,0.87,,"2,045","10,666",75.8,72.4,14.3,12.6,8.9,9.4,"2,045","10,666",6.1,62.3,79.6,17.7,69.5,2
Egypt,0.707,72,13.3,7.4,"11,466",0.707,0.455,"11,763",3.5,41.4,90,15,0.5,264,62.5,100.4,42.7,5.3,0.652,0.739,0.882,108,"4,753","18,039",74.4,69.7,13.3,13.3,6.8,8.1,"4,753","18,039",23.8,48.5,48.3,21.9,70.9,2
Marshall Islands,0.704,74.1,12.4,10.9,"5,039",,,"3,894",3,,,6,5.6,,57.4,0.1,77.4,,,,,,,,,,,,10.7,11.1,,,,,125.7,..,..,2
Viet Nam,0.704,75.4,12.7,8.3,"7,433",0.742,0.526,"8,041",6,75.9,180,27,0.1,164,65.7,96.5,36.6,7.3,0.703,0.705,0.997,65,"6,644","8,224",79.5,71.3,12.9,12.5,8,8.6,"6,644","8,224",37.4,35,210.4,72.7,82.4,2
Gabon,0.703,66.5,13,8.7,"13,930",0.552,0.588,"14,870",0.9,42.3,98,18,18.9,123,58.8,2.2,89.7,0.1,0.67,0.731,0.916,128,"9,925","17,791",68.7,64.4,12.6,13.4,7.8,9.6,"9,925","17,791",32.8,56.4,72.9,43.5,61.8,2
Kyrgyzstan,0.697,71.5,13,11.1,"4,864",0.702,0.506,"5,253",2.3,56,126,19,3.1,156,64.9,6.4,36.6,0.3,0.677,0.707,0.957,82,"2,971","6,798",75.6,67.4,13.2,12.7,11.2,11,"2,971","6,798",21.2,54.8,103.1,44.8,75.7,3
Morocco,0.686,76.7,13.7,5.6,"7,368",0.759,,"7,515",1,41.2,98,18,0.3,111,63.8,36.5,63,2.7,0.612,0.734,0.835,111,"2,975","11,831",77.9,75.4,13.3,14.1,4.7,6.6,"2,975","11,831",34.7,43.6,87.5,21.5,70.1,3
Guyana,0.682,69.9,11.4,8.5,"9,455",0.622,0.515,"9,703",4.2,49.5,91,32,2,116,58.4,0.8,26.7,0.1,0.662,0.688,0.961,115,"5,359","13,512",73.1,66.9,11.6,11.3,8.9,8,"5,359","13,512",17.1,60,79.1,43.9,68.5,3
